sigma_omega,sigma_percent,numerical_fidelity,numerical_error,numerical_std,numerical_standard_error,analytical_error,analytical_fidelity,n_samples
0.001,0.1,0.9999955364404393,4.4635595607411815e-06,5.922056531649801e-06,2.648424194273118e-07,4.934802200544679e-06,0.9999950651977995,500
0.0012470281287818587,0.12470281287818587,0.9999928036375703,7.1963624297399775e-06,1.0070418579370372e-05,4.5036281010698025e-07,7.674008031048026e-06,0.999992325991969,500
0.0015550791539731858,0.15550791539731856,0.9999875739855334,1.2426014466604407e-05,1.5997351508506363e-05,7.154233086595807e-07,1.1933689916505611e-05,0.9999880663100835,500
0.0019392274474868579,0.1939227447486858,0.9999802819082386,1.9718091761378176e-05,2.705798107669532e-05,1.2100697004278737e-06,1.8557832419137863e-05,0.9999814421675809,500
0.0024182711751219565,0.24182711751219566,0.9999710467801979,2.895321980211918e-05,3.9372989917996115e-05,1.7608136386810635e-06,2.8858898337929033e-05,0.9999711411016621,500
0.003015652178399443,0.3015652178399443,0.9999569637404286,4.30362595713607e-05,6.284124315656742e-05,2.810345829773564e-06,4.4877871211944896e-05,0.999955122128788,500
0.0037606030930863936,0.3760603093086394,0.9999235500791862,7.644992081379254e-05,0.00010799094058498716,4.8295016820434435e-06,6.978864199638879e-05,0.9999302113580036,500
0.004689577838262801,0.46895778382628006,0.999891194070369,0.00010880592963102842,0.00015721123476556878,7.0307001552498e-06,0.00010852686235268194,0.9998914731376474,500
0.0058480354764257345,0.5848035476425735,0.9998407442073368,0.00015925579266318213,0.00023774232262418576,1.0632159890327311e-05,0.00016876786129077284,0.9998312321387093,500
0.007292664737217109,0.7292664737217109,0.9997333966741933,0.00026660332580674684,0.0003990764182712278,1.784723998943209e-05,0.0002624473829539187,0.9997375526170461,500
0.009094158061085307,0.9094158061085307,0.999594483200495,0.0004055167995049569,0.0005894791693496975,2.6362309879720682e-05,0.00040812645424645694,0.9995918735457535,500
0.011340670909761668,1.1340670909761668,0.9993405594562955,0.0006594405437044815,0.0010535732836688921,4.7117229631226235e-05,0.0006346689411836558,0.9993653310588163,500
0.01414213562373095,1.4142135623730951,0.9988385160965353,0.0011614839034647106,0.0018028371126897031,8.06253267266725e-05,0.0009869604401089359,0.9990130395598911,500
0.01763564092384048,1.763564092384048,0.9984951763268589,0.001504823673141087,0.002206342467880002,9.867063479648662e-05,0.0015348016062096067,0.9984651983937904,500
0.02199214030112558,2.199214030112558,0.9974701330623099,0.002529866937690084,0.0034623673720529085,0.00015484177613975218,0.0023867379833011227,0.9976132620166989,500
0.027424817567620736,2.7424817567620736,0.9963396769427284,0.0036603230572715972,0.0053023867207724696,0.00023712994301278875,0.0037115664838275734,0.9962884335161725,500
0.03419951893353395,3.419951893353395,0.9946419249603462,0.005358075039653798,0.00776814294214681,0.0003474019135515096,0.005771779667585814,0.9942282203324142,500
0.042647762100924615,4.264776210092461,0.9912640528311526,0.008735947168847402,0.012407911388651468,0.0005548986664763698,0.008975574242388984,0.9910244257576111,500
0.05318295896944989,5.318295896944989,0.9858092318161708,0.01419076818382925,0.01850994811041937,0.0008277900446978299,0.01395772839927776,0.9860422716007222,500
0.06632064580675551,6.632064580675551,0.9780601088340398,0.02193989116596018,0.031017048529578085,0.0013871245794709298,0.02170537247053637,0.9782946275294636,500
0.08270371084000279,8.27037108400028,0.9669701547293873,0.0330298452706127,0.044068698996078445,0.001970812132704163,0.03375357225815458,0.9662464277418454,500
0.1031338537721246,10.31338537721246,0.9519145632439593,0.04808543675604071,0.0677650104976707,0.0030305433993755705,0.05248947659078374,0.9475105234092163,500
0.1286108166835145,12.861081668351451,0.9232215916626394,0.0767784083373606,0.09406432488780024,0.004206684494134932,0.0816252908492914,0.9183747091507086,500
0.16038130606994977,16.038130606994976,0.8953463178330748,0.10465368216692517,0.1277868283316204,0.0057148006955719845,0.12693378823673118,0.8730662117632688,500
0.2,20.0,0.8354264506053449,0.16457354939465507,0.1998666765658948,0.008938309504766099,0.1973920880217872,0.8026079119782128,500
